Food,Category,Bundle,Typical_serve_g,Diet_tag,FDC_ID,Description,DataType
Beef liver,Meat,iron,85,omnivore,2706153,"Liver, beef",Survey (FNDDS)
Oysters,Fish/Shellfish,iron,85,pescatarian/omnivore,2708747,Dressing with oysters,Survey (FNDDS)
Beef (lean),Meat,iron,85,omnivore,2705829,"Beef, steak, ribeye, lean and fat eaten",Survey (FNDDS)
Lentils (cooked),Legume,iron,100,vegan,175254,"Lentils, mature seeds, cooked, boiled, with salt",SR Legacy
Chickpeas (cooked),Legume,iron,100,vegan,2707414,"Chickpeas, NFS",Survey (FNDDS)
Spinach (cooked),Vegetable,iron,90,vegan,169400,"Malabar spinach, cooked",SR Legacy
Pumpkin seeds,Nut/Seed,iron,28,vegan,2707580,"Pumpkin seeds, salted",Survey (FNDDS)
Lentils,Legume,folate,100,vegan,2707431,Lentil curry,Survey (FNDDS)
Beef liver,Meat,folate,85,omnivore,2706153,"Liver, beef",Survey (FNDDS)
Asparagus,Vegetable,folate,90,vegan,168389,"Asparagus, raw",SR Legacy
Spinach,Vegetable,folate,90,vegan,2709628,"Spinach, creamed",Survey (FNDDS)
Beets,Vegetable,folate,90,vegan,2710071,"Beets, pickled",Survey (FNDDS)
Fortified grains,Processed/Plant-based,folate,100,vegan,171000,"Babyfood, Multigrain whole grain cereal, dry fortified",SR Legacy
Avocado,Fruit,folate,100,vegan,2710208,Avocado dressing,Survey (FNDDS)
Sweet potatoes,Vegetable,vitamin_A,90,vegan,2709715,Sweet potato tots,Survey (FNDDS)
Carrots,Vegetable,vitamin_A,90,vegan,2709660,"Carrots, raw",Survey (FNDDS)
Beef liver,Meat,vitamin_A,85,omnivore,2706153,"Liver, beef",Survey (FNDDS)
Spinach,Vegetable,vitamin_A,90,vegan,2709628,"Spinach, creamed",Survey (FNDDS)
Kale,Vegetable,vitamin_A,90,vegan,168421,"Kale, raw",SR Legacy
Red bell peppers,Vegetable,vitamin_A,90,vegan,2258590,"Peppers, bell, red, raw",Foundation
Cantaloupe,Fruit,vitamin_A,100,vegan,2709343,Cantaloupe nectar,Survey (FNDDS)
Chickpeas (cooked),Legume,vitamin_B6,100,vegan,2707414,"Chickpeas, NFS",Survey (FNDDS)
Salmon,Fish/Shellfish,vitamin_B6,85,pescatarian/omnivore,2706850,Lomi salmon,Survey (FNDDS)
Tuna,Fish/Shellfish,vitamin_B6,85,pescatarian/omnivore,175160,"Fish, tuna salad",SR Legacy
Potatoes,Other,vitamin_B6,100,vegan,2709510,Potato patty,Survey (FNDDS)
Bananas,Other,vitamin_B6,100,vegan,173945,"Bananas, dehydrated, or banana powder",SR Legacy
Chicken breast,Meat,vitamin_B6,85,omnivore,2705964,"Chicken breast, rotisserie, skin not eaten",Survey (FNDDS)
