Country,Population,Gender,Micronutrient,Age,P_Deficiency_Primary,P_Marginal,P_Severe
Lao ,Adults,All,vitamin_A,26.0,19.2,,3.2
Lao ,Adults,All,vitamin_A,33.0,23.6,,2.7
Lao ,Adults,All,vitamin_A,40.0,15.2,,0.0
United Kingdom,Men,Male,vitamin_A,19.0,0.0,1.0,0.0
United Kingdom,Men,Male,vitamin_A,19.0,0.0,2.0,0.0
United Kingdom,Men,Male,vitamin_A,25.0,0.0,2.0,0.0
United Kingdom,Men,Male,vitamin_A,35.0,0.0,2.0,0.0
United Kingdom,Men,Male,vitamin_A,50.0,1.0,2.0,0.0
Malawi,Men,Male,vitamin_A,20.0,36.9,81.2,1.4
United Kingdom,Adults,All,vitamin_A,19.0,0.5,,0.2
United Kingdom,Men,Male,vitamin_A,19.0,0.3,,0.0
United Kingdom,Women,Female,vitamin_A,19.0,0.7,,0.3
United Kingdom,Adults,All,vitamin_A,19.0,0.0,,0.0
United Kingdom,Men,Male,vitamin_A,19.0,0.0,,0.0
United Kingdom,Women,Female,vitamin_A,19.0,0.0,,0.0
United Kingdom,Adults,All,vitamin_A,19.0,0.3,,0.3
United Kingdom,Men,Male,vitamin_A,19.0,0.0,,0.0
United Kingdom,Women,Female,vitamin_A,19.0,0.5,,0.5
United Kingdom,Adults,All,vitamin_A,19.0,0.0,,0.0
United Kingdom,Men,Male,vitamin_A,19.0,0.0,,0.0
United Kingdom,Women,Female,vitamin_A,19.0,0.0,,0.0
Philippines,Adults,All,vitamin_A,20.0,2.5,72.7,
Philippines,Adults,All,vitamin_A,20.0,2.6,65.8,
Philippines,Adults,All,vitamin_A,20.0,0.6,44.9,
Philippines,Adults,All,vitamin_A,20.0,1.8,68.7,
Philippines,Adults,All,vitamin_A,20.0,1.1,69.1,
Philippines,Adults,All,vitamin_A,20.0,0.5,57.7,
Philippines,Adults,All,vitamin_A,20.0,2.1,72.4,
Philippines,Adults,All,vitamin_A,20.0,1.2,52.1,
Philippines,Adults,All,vitamin_A,20.0,1.1,57.8,
Philippines,Adults,All,vitamin_A,20.0,2.7,62.1,
Philippines,Adults,All,vitamin_A,20.0,3.4,57.2,
Philippines,Adults,All,vitamin_A,20.0,1.7,62.2,
Philippines,Adults,All,vitamin_A,20.0,2.4,68.9,
Philippines,Adults,All,vitamin_A,20.0,1.6,62.3,
Philippines,Adults,All,vitamin_A,20.0,2.4,52.5,
Philippines,Adults,All,vitamin_A,20.0,3.8,68.8,
Philippines,Adults,All,vitamin_A,20.0,4.7,70.5,
Philippines,Adults,All,vitamin_A,20.0,2.1,64.0,
Philippines,Adults,All,vitamin_A,20.0,2.3,,
Philippines,Adults,All,vitamin_A,20.0,1.9,,
Austria,Elderly,All,vitamin_B6,65.0,6.7,12.0,
Austria,Elderly,Female,vitamin_B6,65.0,8.7,10.2,
Austria,Elderly,Male,vitamin_B6,65.0,4.2,14.2,
Austria,Men,Male,vitamin_B6,18.0,2.7,11.4,
Austria,Children,Female,vitamin_B6,7.0,0.0,1.0,
Austria,Children,Male,vitamin_B6,7.0,0.0,1.3,
Austria,Women,Female,vitamin_B6,18.0,1.9,10.9,
Australia,Adults,All,vitamin_B12,18.0,2.3,14.7,
Australia,Adults,Female,vitamin_B12,18.0,2.3,15.0,
Australia,Men,Male,vitamin_B12,18.0,2.4,14.3,
Austria,Men,Male,vitamin_B12,18.0,9.9,8.8,
Austria,Women,Female,vitamin_B12,18.0,7.3,9.8,
Canada,Adults,All,vitamin_B12,20.0,5.0,20.3,
Canada,Adults,All,vitamin_B12,46.0,5.5,21.2,
Canada,Adults,All,vitamin_B12,20.0,4.1,,
Canada,Adults,All,vitamin_B12,40.0,4.5,,
Canada,Men,Male,vitamin_B12,20.0,4.3,,
Canada,Men,Male,vitamin_B12,40.0,4.6,,
Canada,Women,Female,vitamin_B12,40.0,4.5,,
Costa Rica,Men,Male,vitamin_B12,20.0,2.9,,
Costa Rica,Women,Female,vitamin_B12,45.0,6.4,,
Costa Rica,Men,Male,vitamin_B12,20.0,2.2,,
Costa Rica,Women,Female,vitamin_B12,45.0,4.5,,
Costa Rica,Men,Male,vitamin_B12,20.0,2.6,,
Costa Rica,Women,Female,vitamin_B12,45.0,9.1,,
Costa Rica,Men,Male,vitamin_B12,20.0,4.2,,
Costa Rica,Women,Female,vitamin_B12,45.0,5.3,,
Ecuador,Adults,All,vitamin_B12,20.0,5.9,,
